Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Replace tax disc,,,,,,,91458,0,2.14,71112,0,2.57,74478,,2.82,76431,,3.80,79585,0,3.11,84046,0,3.15,72719,0,3.02,59226,0,3.20,34830,0,3.74,7551,0,0.00,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Requesting a licence or consent,https://www.gov.uk/apply-duplicate-tax-disc,Data for replacements ordered for lost and stolen tax discs.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle registration: certificate replacements,,,,,,,210196,0,2.43,214469,0,2.88,223876,,3.43,228680,,2.00,235750,0,1.85,467837,0,2.44,726221,0,2.43,965049,0,2.69,1224596,0,2.70,1267189,0,2.50,1271144,0,2.52,1284707,0,2.61,1293190,0,2.79,1321286,0,2.79,1355054,0,3.00,1374852,0,3.00,1431980,0,3.00,1449311,0,3.00,1480669,0,4.28,Requesting a licence or consent,,"Data for applications to replace a lost, stolen or damaged vehicle registration certificate (log book).",,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Marine Accident Investigation Branch,MAIB,Marine Accident Investigation Branch: accidents reported,,,,,,,1406,,,1512,,,1473,,,1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,http://www.maib.gov.uk/report_an_accident/index.cfm,Data for accidents reported to the Marine Accident Investigation Branch.,,,Individuals,Taxpayers
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Change of registered keeper: notifications,,,,,,,6153034,0,3.31,5797675,0,3.90,5938430,0,5.40,5971674,,3.37,6111579,0,4.12,6138827,0,3.78,6201626,0,3.77,6214214,3446,4.17,6331950,47199,3.25,6374187,157783,2.93,6469842,369873,3.12,6504043,620076,3.04,6796672,1165304,3.25,7138733,1759208,3.25,7614180,2434664,2.46,8117009,3098618,2.46,8680476,3765576,2.46,9058985,4384455,2.46,9464222,4980151,2.01,Providing information,https://www.gov.uk/notifying-dvla-if-you-sell-your-vehicle,Data for change of registered keeper notifications to DVLA.,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Report death of driver,,,,,,,200453,0,2.60,187820,0,3.02,176399,,3.36,165764,,3.02,154806,0,3.01,153434,0,3.15,155509,0,3.06,157908,0,3.11,162473,0,2.94,165224,0,3.25,167252,0,3.02,169116,0,3.00,167854,0,3.09,169023,0,3.09,170230,0,3.32,170719,0,3.32,175272,0,3.32,174310,0,3.32,173803,0,3.16,Providing information,,Data for notifications of the death of a driver to DVLA.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Reports of destroyed or damaged vehicles,1649747,,,,,,1548094,1492896,1.75,1643651,1638213,2.11,1640876,1635831,2.30,1649230,1644593,1.70,1652329,1647719,1.38,1650349,1645579,1.20,1673747,1669040,1.09,1692152,1687296,1.38,1689625,1685121,1.45,1694840,1689965,1.30,1671217,1666272,1.30,1628989,1624251,1.39,1624878,1619603,1.44,1654473,1649746,1.44,1702188,1697086,1.31,1788842,1780821,1.31,1890920,1880189,1.31,1946655,1933556,1.31,2022606,2007191,1.14,Providing information,,Data for reports of a destroyed or seriously damaged vehicle to DVLA.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Requests for certificate for entitlement to drive,,,,,,,1250260,0,2.96,,0,,0,,,,,,0,0,,5698,0,,12710,0,1.75,20868,0,1.96,20868,0,2.02,20078,0,1.94,18644,0,1.77,18375,0,1.95,18391,0,2.10,18129,0,2.10,17794,0,2.14,17529,0,2.14,17148,0,2.14,16801,0,2.14,16260,0,1.92,Requesting a licence or consent,,Data for applications for a certificate of entitlement to drive for car hire companies.,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,SORN (statutory off-road notification) applications,4502000,3078000,,,,,4223315,3527784,0.66,3871155,3209142,0.66,3902724,3263372,0.62,3912832,3289304,0.61,3704151,2957064,1.10,3274424,2596818,0.82,2854497,2231376,0.82,2677426,2082112,0.91,2720234,2315239,0.87,3023189,2621731,0.85,3286909,2905619,0.82,3410483,3079045,0.79,3504834,3204220,0.79,3560072,3275648,0.79,3610095,3342940,0.83,3625901,3373112,0.83,3696131,3446466,0.83,3812268,3566162,0.83,3793771,3555343,0.83,Providing information,https://www.gov.uk/register-sorn-statutory-off-road-notification,Data for applications for SORN.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle tax: refunds,2853000,0,,,,,2952947,0,2.45,2808358,0,2.91,2784874,0,3.81,2784201,0,3.01,2854357,0,4.40,2742790,0,4.03,2875496,0,2.39,3657610,137758,2.81,4439033,2873364,3.30,5282734,3145905,2.18,5938591,4570827,2.20,5694098,5692638,2.41,5477955,5477439,2.69,5360931,5360501,2.69,5263739,5263324,2.05,5220305,5220304,2.05,5260183,5260183,2.05,5117542,5117542,2.05,5080820,5080820,1.96,"Requesting benefits, payments or loans",https://www.gov.uk/vehicle-tax-refund,"Data for requests for refunds of vehicle tax, now given automatically.","The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Personalised registration: retain a number,303796,0,,,,,289815,0,19.66,318112,0,21.57,309253,0,20.87,289797,0,26.55,274877,0,26.79,344401,0,5.11,441764,0,4.93,539372,0,6.76,648840,2226,8.11,701685,60129,5.13,761698,176806,4.93,813562,295197,4.45,889653,463809,4.50,872409,569361,4.50,855175,630670,4.66,829911,662828,4.66,819581,696171,4.66,824017,711613,4.66,833358,727679,4.30,Providing information,https://www.gov.uk/personalised-vehicle-registration-numbers/retaining-a-registration-number,Data for applications to remove a registration number from a vehicle and keep it for future use (V778).,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Safe manning of ships: applications for a safe manning document,,,,,,,,,,,,,,,,,,,37,,141.00,41,,141.00,41,,141.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/government/publications/application-for-a-safe-manning-document-msf-4227,"Data for applications for a safe manning document, required for every ship over 500 gross tonnage (GT) joining the UK Ship Register.",,,[not provided],Fees and charges
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Safe manning of ships: applications for a safe manning document for vessels with a sister vessel already registered,,,,,,,,,,,,,,,,,,,11,,94.00,11,,94.00,13,,94.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for applications for a safe manning document for vessels with a sister ship already registered with the UK.,,,[not provided],Fees and charges
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Safe manning of ships: technical amendments to documents,,,,,,,,,,,,,,,,,,,67,,94.00,99,,94.00,92,,94.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,,"Data for amendments to a vessel's safe manning document, including manning changes, or a name change of vessel or owner.",,,[not provided],[not provided]
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Safe manning of ships: applications for exemption from requirements,,,,,,,,,,,,,,,,,,,74,,160.00,64,,160.00,58,,160.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,"Data for applications for an exemption from the safe manning requirements, eg the reduction of a crew numbers for a short period of time due to an emergency.",,,[not provided],[not provided]
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Small Ships Register,3500,,,3500,,,10807,,,,,,10805,5886,25.00,10585,5951,25.00,10351,5965,25.00,10090,5964,25.00,10413,,25.00,10577,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Registering,https://mcanet.mcga.gov.uk/ssr/ssr/,Data for online registrations on the Small Ships Register,,,Individuals,Taxpayers
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,"Standards for training, certification and watch keeping (STCW): applications for endorsements to certificates",,,,,,,,,,,,,,,,,,,3971,,,3796,,,3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/apply-for-gmdss-stcw-endorsement-merchant-navy-radio-operators,"Data for applications for standards for training, certification and watch keeping (STCW) endorsements to global maritime distress and safety system (GMDSS) certificates.",,,Individuals,[not provided]
Department for Transport,DfT,Driver and Vehicle Standards Agency,DVSA,Statutory updates of bus registrations with operator licensing,19000,,,17000,3722,,16986,3722,,17176,3852,,16466,3894,,15992,3793,,14926,2885,,15448,3111,,15834,3596,,15651,3742,,15627,3958,,15197,3864,,15225,3975,,15212,3918,,14753,3828,,13673,3640,,13525,3635,,14215,4067,,14330,4351,,15035,4631,,15156,4658,,Amending/deleting information,https://www.tan.gov.uk/Operator/AuthFiles/VOSA_Login.asp,Data for statutory updates of bus registrations with operator licensing.,,,Business,Fees and charges
Department for Transport,DfT,Driver and Vehicle Standards Agency,DVSA,Statutory updates of operator licence,371000,,,350000,253788,,352000,260000,,358224,267615,,363691,277225,,369191,280084,,372472,282882,,352129,273162,,329624,263172,,311156,254768,,295118,251056,,298773,256341,,307024,264206,,315836,275174,,317385,280095,,318852,283354,,319216,287272,,312104,282975,,321547,292584,,331249,302203,,333018,303564,,Amending/deleting information,,Data for statutory updates of operator licence.,,,Business,Fees and charges
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Assessments for the issue of tanker endorsements,,,,,,,,,,,,,,,,,,,400,,52.00,,,52.00,,,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/special-training-ratings-officers,Data for assessments for the issue of a tanker endorsement and entering endorsements into a UK certificate of competency.,,,Individuals,[not provided]
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle tax renewals,46012000,23396000,,,,,45778327,24701745,1.43,42824432,22655007,1.81,42822160,23014845,0.89,43377516,23536288,1.03,45969118,24504457,1.40,45846368,24831133,1.26,46960738,25838142,1.27,47693003,27846055,1.16,47300774,30370033,1.15,47739594,32522404,1.06,46907689,33960807,0.98,46733737,34832602,0.98,46559842,35508936,0.96,47237689,36676506,0.96,47468362,37438488,1.14,46992043,37419549,1.14,47658644,38267429,1.14,47148204,38279500,1.14,47055169,38522671,1.10,Requesting a licence or consent,https://www.gov.uk/tax-disc,"Data for tax disc renewals, to prove payment of Vehicle Excise Duty (VED), also known as vehicle tax, car tax and road tax.",,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Personalised registration: transfers of numbers,312158,,,,,,346711,0,19.66,310319,0,21.57,304432,0,15.60,295742,0,32.11,291532,0,29.81,283567,0,12.35,287641,0,12.00,294365,0,11.77,295516,0,14.67,293781,0,9.42,268216,0,9.63,232276,0,9.86,193680,0,10.32,151989,0,22.53,125549,0,18.36,112459,0,18.36,102546,0,18.36,91895,0,18.36,85015,0,19.23,Providing information,https://www.gov.uk/transferring-vehicle-registration-number-form-v317,Data for applications to transfer a vehicle registration number from one vehicle to another.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Applications for vessel traffic services (VTS) certification logbooks,,,,,,,,,,,,,,,,,,,85,,31.00,,,31.00,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/vts-certification-operators-supervisors-and-instructors,"Data for applications for the issue of a Vessel Traffic Services Certification Logbook, including the issue of certificates.",,,[not provided],[not provided]
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Registrations with the voluntary safety identification schem for leisure vessels and small craft,1600,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://mcanet.mcga.gov.uk/public/cg66/,"Data for registrations with the voluntary safety identification scheme, where ships provide identification details to help rescue services.",,,Individuals,Taxpayers
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Applications for watch rating certificates,,,,,,,,,,,,,,,,,,,174,,26.00,,,46.00,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/apply-for-navigationalengine-room-ratings-certificate,"Data for applications for watch rating certificates, including issuing.",,,Individuals,[not provided]
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Applications for yacht rating certificates,,,,,,,,,,,,,,,,,,,160,,26.00,,,46.00,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/apply-for-navigationalengine-room-ratings-certificate,Data for applications for a yacht racing certificate.,,,Individuals,[not provided]
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Jobcentre Plus: job search support,23290000,0,53.00,23390000,0,53.00,23630000,0,51.00,24150000,0,51.00,24760000,0,51.00,24440000,0,51.00,24680000,0,51.00,,0,,,,,,0,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,Requesting information,https://www.gov.uk/moving-from-benefits-to-work,Data for the annual number of advisory interviews with jobseekers carried out by Jobcentre Plus advisers.,Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,The number of transactions per quarter is no longer available.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Applications for a licence to import acetylene,3,,,,,,,,,0,,,0,,,,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,,0,,0,,,0,,,Requesting a licence or consent,https://www.hse.gov.uk/forms/explosive/,"Data for applications for a licence to import acetylene, or amendment to an existing licence (HSE form LP53).",,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Applications for classification of explosives,350,,,,,,,,,83,,,126,,,161,,,140,,,173,,,198,,,200,,,211,,,216,,,214,,,223,,,236,,,234,,,234,,,234,,,234,,,230,,,224,,,Requesting information,https://www.hse.gov.uk/forms/explosive/,"Data for applications for the issue of a Competent Authority Document for the transport of Class 1 goods (explosives) under the Carriage of Dangerous Goods and Use of Transportable Pressure Equipment Regulations 2009 (as amended) (HSE forms LP71, LP82 & LP83).",,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Applications for a registration or storage licence for explosives,20,,,,,,,,,26,,,10,,,6,,,5,,,6,,,8,,,9,,,28,,,30,,,30,,,30,,,12,,,10,,,7,,,9,,,10,,,8,,,6,,,Requesting a licence or consent,https://www.hse.gov.uk/forms/explosive/,Data for applications for a registration or storage licence for explosives under the Manufacture and Storage of Explosives Regulations.,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Applications for approval of a pesticide,,,,298,,,,,,261,,,248,,,252,,,225,,,245,,,265,,,254,,,244,,,226,,,274,,,319,,,458,,,562,0,,494,0,,437,0,,311,0,,227,0,,215,,,Requesting a licence or consent,https://www.hse.gov.uk/forms/pesticide/index.htm,Data for applications to gain approval for either a product or active substance which is regulated under the Control of Pesticides Regulations (COPR).,,,Business,Fees and charges
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Applications for an explosives licence,60,,,,,,,,,46,,,46,,,49,,,59,,,55,,,49,,,49,,,40,,,48,,,57,,,57,,,62,,,53,,,48,,,45,,,43,,,55,,,59,,,Requesting a licence or consent,https://www.hse.gov.uk/forms/explosive/,"Data for applications for explosives licences, usually required for the storage or manufacture of explosives (HSE form LP41).",,,Business,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Attendance Allowance: existing claims,1740000,0,15.00,1710000,0,15.00,1700000,0,15.00,1686670,0,15.00,1671425,0,13.00,1656293,0,13.00,1641968,0,13.00,1632435,0,15.00,1625960,,15.00,1622250,0,,1616823,,,1611795,,,1607275,,,1603298,,,1602573,0,,1601673,0,,1600418,0,,1598331,0,,1594057,0,,1590923,0,,1586153,,,"Requesting benefits, payments or loans",https://www.gov.uk/attendance-allowance,"Data for contacts with existing claimants of Attendance Allowance, a payment for people aged 65 or over who need help with personal care because they are physically or mentally disabled.","Following a restructure in DWP, costs on this service are no longer collected",Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from Stat-Xplore).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Attendance Allowance: new claims,322000,0,,330000,9740,,320000,8298,,310000,7021,,300000,5962,,300000,6152,,310000,4906,143.00,308900,3549,,323200,,127.00,334704,453,,339514,,,354950,,,349893,,,341893,,,340674,0,,337773,0,,323115,0,,322791,0,,332231,0,,337269,0,,348653,,,"Requesting benefits, payments or loans",https://www.gov.uk/attendance-allowance,Data for new claims for people aged 65 or over who need help with personal care because they are physically or mentally disabled.,Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"New claims involve several interactions with applicants, including assembling evidence to validate identity and eligibility, issuing NI numbers, and dealing with any appeals against decisions made.<br>The number of transactions given is the annual number of applications processed, whether successful or not.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Bereavement Payment: applications,42000,0,,43000,,,42000,,,42000,0,,42000,,,42000,0,,42000,0,,,0,,,,,,0,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,"Requesting benefits, payments or loans",https://www.gov.uk/bereavement-payment/overview,Data for applications for Bereavement Payment.,"Following a restructure in DWP, costs for this service are no longer collected.",The number of transactions per quarter is no longer available.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Carer's Allowance: existing claims,1010000,0,35.00,1030000,0,35.00,1040000,0,32.00,1049765,0,32.00,1060018,0,32.00,1068065,0,32.00,1071223,0,32.00,1075878,0,30.00,1083415,,30.00,1094573,0,,1108228,,,1124418,,,1141640,,,1157043,,,1170775,0,,1182160,0,,1191808,0,,1200991,0,,1209795,0,,1218033,0,,1222374,,,"Requesting benefits, payments or loans",https://www.gov.uk/carers-allowance,"Data for existing claimants of Carer's Allowance, a regular payment for carers who help look after someone with substantial caring needs for at least 35 hours a week.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from Stat-Xplore).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Carer's Allowance: new claims,244000,0,,250000,70981,94.00,240000,70857,62.00,240000,69211,62.00,241000,64847,,241000,68778,62.00,241000,79784,62.00,241945,95819,,248351,117812,59.00,256115,137120,,280404,162142,,293153,177957,,298272,189050,,298204,197990,,283463,194035,,275558,204281,,277795,214673,,290041,224754,,299638,234254,,293618,236724,,282303,240940,,"Requesting benefits, payments or loans",https://www.gov.uk/carers-allowance,Data for new claims for regular payments for carers who help look after someone with substantial caring needs for at least 35 hours a week.,Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"The number of transactions given is the annual number of applications processed, whether successful or not.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: changes of major accident hazard (MAH) pipeline operator,8,,,2,,,,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,0,,,0,,,0,,,0,,,0,,,Providing information,,Data for changes submitted about major accident hazards (MAH) Pipeline Operator under the Pipeline Safety Regulations 1999 (PSR 22 (1)).,,,Business,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Child maintenance transactions,880000,0,493.00,900000,0,493.00,900000,0,453.00,900000,0,453.00,907500,0,463.00,905000,0,463.00,927500,0,463.00,,0,,,,,,0,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,"Requesting benefits, payments or loans",https://www.gov.uk/child-maintenance,"Data for applications for Child Maintenance, financial support towrads a child’s everyday living costs when the parents have separated",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"The number of transactions given is the annual average of applications processed, whether successful or not.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Disability Living Allowance (DLA): existing claims,3220000,0,24.00,3260000,0,24.00,3280000,0,24.00,3305548,0,24.00,3318408,0,21.00,3320703,0,21.00,3307930,0,21.00,3289393,0,20.00,3268618,,20.00,3245453,0,,3215558,,,3177268,,,3129953,,,3077170,,,3019448,0,,2951583,0,,2864453,0,,2755910,0,,2632475,0,,2496570,0,,2358720,,,"Requesting benefits, payments or loans",https://www.gov.uk/dla-disability-living-allowance-benefit,"Data for existing claimants of Disabililty Living Allowance, which has been largely replaced by the Personal Independence Payment, and is now only to help cover extra costs for a disabled child under 16 (DLA for children).",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Disability Living Allowance: new claims,436000,,,710000,30620,174.00,680000,26227,154.00,680000,21726,154.00,610000,16259,149.00,510000,12772,149.00,420000,7271,149.00,327400,3230,144.00,276200,,144.00,270043,411,,278438,,,267239,,,260429,,,226666,,,188929,0,,177075,0,,166743,0,,169607,0,,174970,0,,177530,0,,182588,,,"Requesting benefits, payments or loans",https://www.gov.uk/dla-disability-living-allowance-benefit,"Data for applications for Disability Living Allowance, which has been largely replaced by the Personal Independence Payment, and is now only to help cover extra costs for a disabled child under 16 (DLA for children).",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"New claims involve several interactions with the applicant and third parties such as medical staff to, for example, assemble evidence to validate identity and eligibility in line with benefit regulations and fraud avoidance strategies, issue NI numbers if the applicant does not have one, and deal with any appeals against the decisions made.<br>The number of transactions given is the annual number of applications processed, whether successful or not.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Electrical safety: reports of incidents,,,,,,,,,,,,,,,,,,,,,,,,,9181,,,12309,12309,,12540,12540,,13279,13264,,14163,14148,,15146,15140,,15316,,,15505,15505,,15759,15759,,15105,15105,,15021,15021,,14768,14768,,14117,,,Providing information,,"Data for reports of incidents under the Electricity Safety, Quality and Continuity Regulations (ESQCR).",,,Business,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Employment and Support Allowance: new claims,740000,0,231.00,790000,0,231.00,810000,0,208.00,840000,0,208.00,870000,0,223.00,870000,0,223.00,890000,0,223.00,902800,0,232.00,901300,,232.00,907675,0,,909404,,,882011,,,857297,,,839651,,,815688,0,,812990,0,,793315,0,,774220,0,,760364,0,,740274,0,,728637,,,"Requesting benefits, payments or loans",https://www.gov.uk/employment-support-allowance/eligibility,"Data for applications for Employment and Support Allowance, the main benefit for people who are sick or disabled. ESA is replacing Incapacity Benefit, Income Support and Severe Disablement Allowance.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"New claims involve several interactions with the applicant and third parties,such as medical professionals, to, for example, arrange and undertake medicals, assemble evidence to validate identity and eligibility in line with benefit regulations and fraud avoidance strategies, issue NI numbers if the applicant does not have one, and deal with any appeals against the decisions made.<br> The number of transactions given is the annual number of applications processed, whether successful or not.<br>It covers new applications for ESA from initial enquiry through to the claim commencing payment.",Individuals,Taxpayers
